number|shortdesc|fulldesc
7304||"This patch add more permissions for budgets
The librarian can now:
    - add users to a budget.
    - Set restrictions to:
      - None.
      - Owner.
      - Owner and users.
      - Owner, users and library.
    - Restricted users cannot spent on these budgets (they cannot modify them
      either)"
5600||"This patch add a command line interface for tools/export.pl
export.pl [--format=format] [--date=date] [--dont_export_items]
  [--deleted_barcodes] [--clean] --filename=outputfile
    * format is either 'xml' or 'marc' (default)
    * date should be entered as the 'dateformat' syspref is set
      (dd/mm/yyyy for metric, yyyy-mm-dd for iso, mm/dd/yyyy for us)
    * records exported are the ones that have been modified since 'date'
    * if --deleted_barcodes is used, a list of barcodes of items deleted
      since 'date' is produced (or from all deleted items if no date is
      specified)
    * --clean removes NSE/NSB"
5742||"This patch add a batch patron edit tool that included the
patron attributes in it.
An example use of this would be for school libraries
that keep track of home rooms as an attribute - that changes each year and it
would be great to be able to batch edit that."
8353||"This patch add a script, xt/check_sysprefs.t that check all the sysprefs
in your system, and warn you if any sysprefs are missing"
8332||"In addition to the work in bug 8207 that enables auth_finder use, it
would be very useful when creating authorities to have the auth_finder plugin
automatically fill out the relationship information in $w (in MARC21)."
2930||"Put other name on checkout screen

This patch adds other name to the include which is used
to display patron names and adds this include in several
places where it can be used in place of direct output.

The patron-title include has been modified to handle the
two possible variable scopes throughout patron-related
templates. This is a hack similar to having both
circ-menu.tt and circ-menu.inc, but keeping both in the
same file.

Changes to some scripts were necessary to make the
othernames variable available to the include.

This patch also corrects some title tags and fixes
some incorrect capitalization (see Bug 2780)."
6774||"Display barcode on OPAC detail normal view including in XSLT view"
8432||"This patch add fields in the search result list : branch, callnumber 
(in separate columns), history, expirydate, number of routing lists attached."
8143||"We use a very old version of jQuery tabs in many places. Each instance should be
updated to work with the latest jQueryUI.

"
8674||"This script batch deletes biblios which contain a biblionumber
present in file passed in parameter.
If one biblio has items, it is not deleted."
8263||"This patch merge opaclayoutstylesheet and opacstylesheet that could
just be one pref (just as opaccolorstylesheet already advertises)."
8019||"If I select a language in Staff client or Opac, I expect it to be
persistent between browser sessions.

This is not the case. Koha forgets the selection as soon as all Broser 
instances are closed, and starts up the next session with the Browser's 
preferred language.
With this patch, the language choice is stored for up to 3 years from the last
login."
8203||"Right now there is no convenient way to save an individual authority
record.
This patch add a Save button to the authority view in the staff client which
allows records to be saved as MARC, MARCXML, and (at least for MARC21) MADS."
7992||"The plugin koha about the Automatic Number incrementing inventory are not
perfect.
This patch add a new plugin which offers more opportunities with a prefix 
management from a authorised values list.

  1 / Create a list of authorised values(INVENTORY_NUMBER). In which the code is
the prefix and the description the last number assigned.

  2/ A space between the prefix and number.


  3 / From a holding record, after indicate the prefix when you click on the
plugin -> koha search the last number from authorised values assigned in the
list and increment n +1 level meter (description)."
8652||"On the lateorders.pl, we dont want all the late orders.
With this patch, the date interval is based on the estimated delivery date and
the delay param is based on the closing date."
5910||"This patch add a 'search all authorities types' feature for
UNIMARC libraries."
7784||"In the batch item modification interfaces:

 Checking the box right next the subfield label will disable the entry 
and delete the values of that subfield on all selected items 

It's more accurate to say  disable the entry and delete the contents of
the subfield. Some enhancements:

 - indicate this by emptying/resetting the field and adding a disabled
attribute.
 - append a note which says  The contents of this field will be deleted.

It would also be helpful to add a note saying that leaving fields empty will
make no changes to any records."
8641||"If you are logged in as database administrative user,a lot of things
do not work.

It seems that this is a pitfall a lot of newbies fall in.
To prevent frustration and support questions, this patch add some information
to About->System Information."
8301||"To minimize support questions regarding common mistakes, the About page now 
has an additional tab that displays warnings if deprecated and/or mutual
excluding system preferences are used.

Example: Bug 8298 Can't call method  subfield  on an undefined value at
Biblio.pm (sub _AddBiblioNoZebra)
"
4255||"Itemtype is added to the facet list"
8376||"

"
7175||"When syspref AcqCreateItem= ordering , this development allow to choose what
items are received by listing all created items and providing a checkbox for
each one.
"
8279||"Adds more precise debug informations for easier CAS troubleshootings resolution.
Before this patch, whenever ticket validation failed, the debug message was
 Invalid ticket .
But ticket validation may fail for other reasons: CAS server not reachable,
casServerUrl syspref is wrong...
This patch adds the reason for ticket validation failing.
"
8207||"Right now if you were to link a field in an authority to a thesaurus, it 
will not work properly. The authority type frameworks require some adjustments 
to allow see also headings to be linked to thesauri (such as adding subfield $9).
"
6448||"We are migrating one library from custom software to Koha, and they are using
EAN-13 zero-padded barcodes (primary key in legacy system) instead of ISBN or
ISSN. Since books allready have barcodes on them, we can't change it.
To make things more insteresting, at least one barcode reader reports it as
UPC-A without first leading zero, since EAN-13 has backwards compatibility with
it."
7849||"Add the ability for fines to be calculated at checkin.  This will be 
helpful for hourly based items so the cronjob for fines doesn't have to be 
run on such a frequent interval.

"
8570||"When doing Z39.50 searches, a maximum of 20 results are show even if 
there are a lot more matching results returned by the server.
This patch adds some pagination code to the Z39.50 results pages so all results
returned by the Z39.50 server can be accessed."
7286||"

"
